stimuli	category	setting	run	trialNb	butMap	respKey1	respKey2	respInst1	respInst2	subNum	idealStimOnset	response	stimOnset
fixation	fixation		1	1	2	26	20	w	q	23	10	NaN	NaN
./src/stimuli/people_inside.jpg	people	inside	1	2	2	26	20	w	q	23	12	NaN	NaN
./src/stimuli/food_cake.jpg	food	inside	1	3	2	26	20	w	q	23	14	NaN	NaN
./src/stimuli/sport_skate_park.jpg	sport	outside	1	4	2	26	20	w	q	23	16	NaN	NaN
fixation	fixation		1	5	2	26	20	w	q	23	18	NaN	NaN
./src/stimuli/scene_station.jpg	scene	outside	1	6	2	26	20	w	q	23	20	NaN	NaN
fixation	fixation		1	7	2	26	20	w	q	23	22	NaN	NaN
./src/stimuli/scene_working_space.jpg	scene	inside	1	8	2	26	20	w	q	23	24	NaN	NaN
./src/stimuli/people_crowd.jpg	people	outside	1	9	2	26	20	w	q	23	26	NaN	NaN
./src/stimuli/object_camera.jpg	objects	inside	1	10	2	26	20	w	q	23	28	NaN	NaN
./src/stimuli/people_train.jpg	people	outside	1	11	2	26	20	w	q	23	30	NaN	NaN
./src/stimuli/food_banana.jpg	food	inside	1	12	2	26	20	w	q	23	32	NaN	NaN
./src/stimuli/people_wheel_repair.jpg	people	outside	1	13	2	26	20	w	q	23	34	NaN	NaN
./src/stimuli/food_pizza.jpg	food	inside	1	14	2	26	20	w	q	23	36	NaN	NaN
./src/stimuli/sport_baseball.jpg	sport	outside	1	15	2	26	20	w	q	23	38	NaN	NaN
./src/stimuli/people_horse.jpg	people	outside	1	16	2	26	20	w	q	23	40	NaN	NaN
./src/stimuli/vehicle_plane.jpg	vehicle	outside	1	17	2	26	20	w	q	23	42	NaN	NaN
./src/stimuli/sport_skateboard.jpg	sport	outside	1	18	2	26	20	w	q	23	44	NaN	NaN
./src/stimuli/animal_zebra.jpg	animal	outside	1	19	2	26	20	w	q	23	46	NaN	NaN
./src/stimuli/animal_sheep.jpg	animal	outside	1	20	2	26	20	w	q	23	48	NaN	NaN
./src/stimuli/people_frisbee.jpg	people	outside	1	21	2	26	20	w	q	23	50	NaN	NaN
./src/stimuli/sport_tennis.jpg	sport	outside	1	22	2	26	20	w	q	23	52	NaN	NaN
fixation	fixation		1	23	2	26	20	w	q	23	54	NaN	NaN
./src/stimuli/object_phone.jpg	objects	inside	1	24	2	26	20	w	q	23	56	NaN	NaN
./src/stimuli/sport_tennis.jpg	sport	outside	2	25	1	20	26	q	w	23	10	NaN	NaN
fixation	fixation		2	26	1	20	26	q	w	23	12	NaN	NaN
./src/stimuli/people_frisbee.jpg	people	outside	2	27	1	20	26	q	w	23	14	NaN	NaN
./src/stimuli/vehicle_plane.jpg	vehicle	outside	2	28	1	20	26	q	w	23	16	NaN	NaN
./src/stimuli/people_inside.jpg	people	inside	2	29	1	20	26	q	w	23	18	NaN	NaN
./src/stimuli/scene_working_space.jpg	scene	inside	2	30	1	20	26	q	w	23	20	NaN	NaN
./src/stimuli/sport_baseball.jpg	sport	outside	2	31	1	20	26	q	w	23	22	NaN	NaN
./src/stimuli/people_horse.jpg	people	outside	2	32	1	20	26	q	w	23	24	NaN	NaN
./src/stimuli/food_cake.jpg	food	inside	2	33	1	20	26	q	w	23	26	NaN	NaN
./src/stimuli/people_wheel_repair.jpg	people	outside	2	34	1	20	26	q	w	23	28	NaN	NaN
./src/stimuli/scene_station.jpg	scene	outside	2	35	1	20	26	q	w	23	30	NaN	NaN
fixation	fixation		2	36	1	20	26	q	w	23	32	NaN	NaN
./src/stimuli/sport_skate_park.jpg	sport	outside	2	37	1	20	26	q	w	23	34	NaN	NaN
fixation	fixation		2	38	1	20	26	q	w	23	36	NaN	NaN
./src/stimuli/sport_skateboard.jpg	sport	outside	2	39	1	20	26	q	w	23	38	NaN	NaN
./src/stimuli/people_train.jpg	people	outside	2	40	1	20	26	q	w	23	40	NaN	NaN
./src/stimuli/object_camera.jpg	objects	inside	2	41	1	20	26	q	w	23	42	NaN	NaN
./src/stimuli/food_banana.jpg	food	inside	2	42	1	20	26	q	w	23	44	NaN	NaN
./src/stimuli/animal_sheep.jpg	animal	outside	2	43	1	20	26	q	w	23	46	NaN	NaN
fixation	fixation		2	44	1	20	26	q	w	23	48	NaN	NaN
./src/stimuli/object_phone.jpg	objects	inside	2	45	1	20	26	q	w	23	50	NaN	NaN
./src/stimuli/animal_zebra.jpg	animal	outside	2	46	1	20	26	q	w	23	52	NaN	NaN
./src/stimuli/people_crowd.jpg	people	outside	2	47	1	20	26	q	w	23	54	NaN	NaN
./src/stimuli/food_pizza.jpg	food	inside	2	48	1	20	26	q	w	23	56	NaN	NaN
